CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
"1400209",Caracaraí,RR,47379.903
"1400233",Caroebe,RR,12065.896
"1400282",Iracema,RR,14011.695
"1400308",Mucajaí,RR,12337.851
"1400407",Normandia,RR,6959.868
"1400456",Pacaraima,RR,8025.045
"1400472",Rorainópolis,RR,33579.739
"1400506",São João da Baliza,RR,4284.505
"1400605",São Luiz,RR,1526.898
"1400704",Uiramutã,RR,8113.598
"1500107",Abaetetuba,PA,1610.654
"1500131",Abel Figueiredo,PA,614.131
"1500206",Acará,PA,4344.384
"1500305",Afuá,PA,8338.438
"1500347",Água Azul do Norte,PA,7113.955
"1500404",Alenquer,PA,23645.452
"1500503",Almeirim,PA,72954.798
"1500602",Altamira,PA,159533.306
"1500701",Anajás,PA,6913.640
"1500800",Ananindeua,PA,190.581
"1500859",Anapu,PA,11895.270
"1500909",Augusto Corrêa,PA,1099.619
"1500958",Aurora do Pará,PA,1811.840
"1501006",Aveiro,PA,17074.053
"1501105",Bagre,PA,4397.321
"1501204",Baião,PA,3759.834
"1501253",Bannach,PA,2956.649
"1501303",Barcarena,PA,1310.338
"1501402",Belém,PA,1059.466
"1501451",Belterra,PA,4398.418
"1501501",Benevides,PA,187.826
"1501576",Bom Jesus do Tocantins,PA,2816.604
"1501600",Bonito,PA,586.976
"1501709",Bragança,PA,2124.734
"1501725",Brasil Novo,PA,6362.575
"1501758",Brejo Grande do Araguaia,PA,1288.477
"1501782",Breu Branco,PA,3941.904
"1501808",Breves,PA,9566.572
"1501907",Bujaru,PA,994.691
"1501956",Cachoeira do Piriá,PA,2419.600
"1502004",Cachoeira do Arari,PA,3100.261
"1502103",Cametá,PA,3081.367
"1502152",Canaã dos Carajás,PA,3146.821
"1502202",Capanema,PA,621.483
"1502301",Capitão Poço,PA,2901.026
"1502400",Castanhal,PA,1029.300
"1502509",Chaves,PA,12534.995
"1502608",Colares,PA,384.068
"1502707",Conceição do Araguaia,PA,5829.482
"1502756",Concórdia do Pará,PA,700.590
"1502764",Cumaru do Norte,PA,17085.001
"1502772",Curionópolis,PA,2369.096
"1502806",Curralinho,PA,3617.252
"1502855",Curuá,PA,1431.134
"1502905",Curuçá,PA,676.322
"1502939",Dom Eliseu,PA,5268.809
"1502954",Eldorado do Carajás,PA,2956.691
"1503002",Faro,PA,11771.669
"1503044",Floresta do Araguaia,PA,3444.285
"1503077",Garrafão do Norte,PA,1608.014
"1503093",Goianésia do Pará,PA,7023.948
"1503101",Gurupá,PA,8570.286
"1503200",Igarapé-Açu,PA,785.983
"1503309",Igarapé-Miri,PA,1996.790
"1503408",Inhangapi,PA,472.605
"1503457",Ipixuna do Pará,PA,5215.555
"1503507",Irituia,PA,1385.209
"1503606",Itaituba,PA,62042.472
"1503705",Itupiranga,PA,7880.109
"1503754",Jacareacanga,PA,53304.563
"1503804",Jacundá,PA,2008.315
"1503903",Juruti,PA,8305.454
"1504000",Limoeiro do Ajuru,PA,1490.186
"1504059",Mãe do Rio,PA,469.341
"1504109",Magalhães Barata,PA,323.984
"1504208",Marabá,PA,15128.058
"1504307",Maracanã,PA,807.628
"1504406",Marapanim,PA,804.625
"1504422",Marituba,PA,103.214
"1504455",Medicilândia,PA,8272.629
"1504505",Melgaço,PA,6774.065
"1504604",Mocajuba,PA,871.171
"1504703",Moju,PA,9094.139
"1504752",Mojuí dos Campos,PA,4988.236
"1504802",Monte Alegre,PA,18152.559
"1504901",Muaná,PA,3763.337
"1504950",Nova Esperança do Piriá,PA,2808.195
"1504976",Nova Ipixuna,PA,1564.184
"1505007",Nova Timboteua,PA,489.853
"1505031",Novo Progresso,PA,38162.002
"1505064",Novo Repartimento,PA,15398.723
"1505106",Óbidos,PA,28011.041
"1505205",Oeiras do Pará,PA,3852.291
"1505304",Oriximiná,PA,107613.838
"1505403",Ourém,PA,561.710
"1505437",Ourilândia do Norte,PA,14410.567
"1505486",Pacajá,PA,11832.323
"1505494",Palestina do Pará,PA,984.362
"1505502",Paragominas,PA,19342.565
"1505536",Parauapebas,PA,6885.794
"1505551",Pau D'Arco,PA,1671.419
"1505601",Peixe-Boi,PA,450.224
"1505635",Piçarra,PA,3312.708
"1505650",Placas,PA,7173.194
"1505700",Ponta de Pedras,PA,3363.749
"1505809",Portel,PA,25384.960
"1505908",Porto de Moz,PA,17423.017
"1506005",Prainha,PA,14786.953
"1506104",Primavera,PA,258.600
"1506112",Quatipuru,PA,302.939
"1506138",Redenção,PA,3823.809
"1506161",Rio Maria,PA,4114.627
"1506187",Rondon do Pará,PA,8246.394
"1506195",Rurópolis,PA,7021.321
"1506203",Salinópolis,PA,226.120
"1506302",Salvaterra,PA,918.563
"1506351",Santa Bárbara do Pará,PA,278.154
"1506401",Santa Cruz do Arari,PA,1076.652
"1506500",Santa Izabel do Pará,PA,717.662
"1506559",Santa Luzia do Pará,PA,1346.502
"1506583",Santa Maria das Barreiras,PA,10330.214
"1506609",Santa Maria do Pará,PA,457.724
"1506708",Santana do Araguaia,PA,11591.441
"1506807",Santarém,PA,17898.389
"1506906",Santarém Novo,PA,229.510
"1507003",Santo Antônio do Tauá,PA,537.618
"1507102",São Caetano de Odivelas,PA,464.166
"1507151",São Domingos do Araguaia,PA,1392.464
"1507201",São Domingos do Capim,PA,1686.765
"1507300",São Félix do Xingu,PA,84212.903
"1507409",São Francisco do Pará,PA,479.441
"1507458",São Geraldo do Araguaia,PA,3168.384
"1507466",São João da Ponta,PA,195.918
"1507474",São João de Pirabas,PA,668.434
"1507508",São João do Araguaia,PA,1279.889
"1507607",São Miguel do Guamá,PA,1094.564
"1507706",São Sebastião da Boa Vista,PA,1632.251
"1507755",Sapucaia,PA,1298.190
"1507805",Senador José Porfírio,PA,14419.916
"1507904",Soure,PA,2857.349
"1507953",Tailândia,PA,4430.477
"1507961",Terra Alta,PA,204.970
"1507979",Terra Santa,PA,1895.883
"1508001",Tomé-Açu,PA,5145.361
"1508035",Tracuateua,PA,868.025
"1508050",Trairão,PA,11991.085
"1508084",Tucumã,PA,2512.594
"1508100",Tucuruí,PA,2084.289
"1508126",Ulianópolis,PA,5088.468
"1508159",Uruará,PA,10791.406
"1508209",Vigia,PA,401.589
"1508308",Viseu,PA,4972.897
"1508357",Vitória do Xingu,PA,3089.537
"1508407",Xinguara,PA,3779.348
"1600055",Serra do Navio,AP,7713.046
"1600105",Amapá,AP,8454.847
"1600154",Pedra Branca do Amapari,AP,9622.290
"1600204",Calçoene,AP,14117.297
"1600212",Cutias,AP,2179.114
"1600238",Ferreira Gomes,AP,4973.855
"1600253",Itaubal,AP,1622.867
"1600279",Laranjal do Jari,AP,30782.998
"1600303",Macapá,AP,6563.849
"1600402",Mazagão,AP,13294.778
"1600501",Oiapoque,AP,23034.392
"1600535",Porto Grande,AP,4428.013
"1600550",Pracuúba,AP,4948.508
"1600600",Santana,AP,1541.224
"1600709",Tartarugalzinho,AP,6684.705
"1600808",Vitória do Jari,AP,2508.979
"1700251",Abreulândia,TO,1906.295
"1700301",Aguiarnópolis,TO,236.792
"1700350",Aliança do Tocantins,TO,1580.999
"1700400",Almas,TO,4007.152
"1700707",Alvorada,TO,1207.201
"1701002",Ananás,TO,1581.058
"1701051",Angico,TO,447.549
"1701101",Aparecida do Rio Negro,TO,1159.034
"1701309",Aragominas,TO,1168.213
"1701903",Araguacema,TO,2774.505
"1702000",Araguaçu,TO,5155.223
"1702109",Araguaína,TO,4004.646
"1702158",Araguanã,TO,834.834
"1702208",Araguatins,TO,2633.278
"1702307",Arapoema,TO,1558.138
"1702406",Arraias,TO,5803.085
"1702554",Augustinópolis,TO,388.810
"1702703",Aurora do Tocantins,TO,696.194
"1702901",Axixá do Tocantins,TO,153.539
"1703008",Babaçulândia,TO,1790.297
"1703057",Bandeirantes do Tocantins,TO,1540.541
"1703073",Barra do Ouro,TO,1105.840
"1703107",Barrolândia,TO,697.759
"1703206",Bernardo Sayão,TO,924.045
"1703305",Bom Jesus do Tocantins,TO,1326.947
"1703602",Brasilândia do Tocantins,TO,645.908
"1703701",Brejinho de Nazaré,TO,1722.590
"1703800",Buriti do Tocantins,TO,252.730
"1703826",Cachoeirinha,TO,351.535
"1703842",Campos Lindos,TO,3234.445
"1703867",Cariri do Tocantins,TO,1126.291
"1703883",Carmolândia,TO,339.366
"1703891",Carrasco Bonito,TO,190.352
"1703909",Caseara,TO,1680.014
"1704105",Centenário,TO,1953.134
"1704600",Chapada de Areia,TO,658.564
"1705102",Chapada da Natividade,TO,1640.833
"1705508",Colinas do Tocantins,TO,842.488
"1705557",Combinado,TO,208.791
"1705607",Conceição do Tocantins,TO,2530.647
"1706001",Couto Magalhães,TO,1584.196
"1706100",Cristalândia,TO,1850.750
"1706258",Crixás do Tocantins,TO,983.766
"1706506",Darcinópolis,TO,1641.770
"1707009",Dianópolis,TO,3318.094
"1707108",Divinópolis do Tocantins,TO,2358.282
"1707207",Dois Irmãos do Tocantins,TO,3747.645
"1707306",Dueré,TO,3420.657
"1707405",Esperantina,TO,506.175
"1707553",Fátima,TO,380.373
"1707652",Figueirópolis,TO,1935.709
"1707702",Filadélfia,TO,1991.258
"1708205",Formoso do Araguaia,TO,13431.861
"1708254",Tabocão,TO,624.463
"1708304",Goianorte,TO,1797.229
"1709005",Goiatins,TO,6414.846
"1709302",Guaraí,TO,2275.562
"1709500",Gurupi,TO,1844.164
"1709807",Ipueiras,TO,821.152
"1710508",Itacajá,TO,3047.204
"1710706",Itaguatins,TO,730.163
"1710904",Itapiratins,TO,1246.349
"1711100",Itaporã do Tocantins,TO,969.794
"1711506",Jaú do Tocantins,TO,2167.201
"1711803",Juarina,TO,483.452
"1711902",Lagoa da Confusão,TO,10563.181
"1711951",Lagoa do Tocantins,TO,917.632
"1712009",Lajeado,TO,318.292
"1712157",Lavandeira,TO,468.006
"1712405",Lizarda,TO,5716.641
"1712454",Luzinópolis,TO,281.543
"1712504",Marianópolis do Tocantins,TO,2089.575
"1712702",Mateiros,TO,9589.273
"1712801",Maurilândia do Tocantins,TO,736.303
"1713205",Miracema do Tocantins,TO,2663.745
"1713304",Miranorte,TO,1033.301
"1713601",Monte do Carmo,TO,3601.205
"1713700",Monte Santo do Tocantins,TO,1072.920
"1713809",Palmeiras do Tocantins,TO,743.407
"1713957",Muricilândia,TO,1194.368
"1714203",Natividade,TO,3241.672
"1714302",Nazaré,TO,395.997
"1714880",Nova Olinda,TO,1567.834
"1715002",Nova Rosalândia,TO,514.791
"1715101",Novo Acordo,TO,2678.262
"1715150",Novo Alegre,TO,200.412
"1715259",Novo Jardim,TO,1213.893
"1715507",Oliveira de Fátima,TO,209.292
"1715705",Palmeirante,TO,2638.465
"1715754",Palmeirópolis,TO,1708.981
"1716109",Paraíso do Tocantins,TO,1292.267
"1716208",Paranã,TO,11217.373
"1716307",Pau D'Arco,TO,1375.551
"1716505",Pedro Afonso,TO,2019.556
"1716604",Peixe,TO,5303.612
"1716653",Pequizeiro,TO,1206.118
"1716703",Colméia,TO,992.220
"1717008",Pindorama do Tocantins,TO,1560.551
"1717206",Piraquê,TO,1363.412
"1717503",Pium,TO,10003.549
"1717800",Ponte Alta do Bom Jesus,TO,1718.791
"1717909",Ponte Alta do Tocantins,TO,6542.838
"1718006",Porto Alegre do Tocantins,TO,506.717
"1718204",Porto Nacional,TO,4434.680
"1718303",Praia Norte,TO,300.999
"1718402",Presidente Kennedy,TO,771.716
"1718451",Pugmil,TO,401.174
"1718501",Recursolândia,TO,2215.669
"1718550",Riachinho,TO,512.156
"1718659",Rio da Conceição,TO,845.823
"1718709",Rio dos Bois,TO,847.255
"1718758",Rio Sono,TO,6346.279
"1718808",Sampaio,TO,222.435
"1718840",Sandolândia,TO,3535.135
"1718865",Santa Fé do Araguaia,TO,1671.239
"1718881",Santa Maria do Tocantins,TO,1412.318
"1718899",Santa Rita do Tocantins,TO,3281.219
"1718907",Santa Rosa do Tocantins,TO,1804.687
"1719004",Santa Tereza do Tocantins,TO,539.511
"1720002",Santa Terezinha do Tocantins,TO,274.104
"1720101",São Bento do Tocantins,TO,1099.580
"1720150",São Félix do Tocantins,TO,1913.110
"1720200",São Miguel do Tocantins,TO,406.957
"1720259",São Salvador do Tocantins,TO,1424.753
"1720309",São Sebastião do Tocantins,TO,289.597
"1720499",São Valério,TO,2520.465
"1720655",Silvanópolis,TO,1258.771
"1720804",Sítio Novo do Tocantins,TO,307.095
"1720853",Sucupira,TO,1018.222
"1720903",Taguatinga,TO,2341.919
"1720937",Taipas do Tocantins,TO,1105.303
"1720978",Talismã,TO,2155.503
"1721000",Palmas,TO,2227.329
"1721109",Tocantínia,TO,2609.775
"1721208",Tocantinópolis,TO,1083.600
"1721257",Tupirama,TO,706.883
"1721307",Tupiratins,TO,889.126
"1722081",Wanderlândia,TO,1365.431
"1722107",Xambioá,TO,1190.489
"2100055",Açailândia,MA,5805.159
"2100105",Afonso Cunha,MA,371.338
"2100154",Água Doce do Maranhão,MA,442.292
"2100204",Alcântara,MA,1167.964
"2100303",Aldeias Altas,MA,1942.121
"2100402",Altamira do Maranhão,MA,524.374
"2100436",Alto Alegre do Maranhão,MA,392.750
"2100477",Alto Alegre do Pindaré,MA,1875.901
"2100501",Alto Parnaíba,MA,11127.384
"2100550",Amapá do Maranhão,MA,502.402
"2100600",Amarante do Maranhão,MA,7439.615
"2100709",Anajatuba,MA,942.568
"2100808",Anapurus,MA,608.903
"2100832",Apicum-Açu,MA,341.120
"2100873",Araguanã,MA,805.194
"2100907",Araioses,MA,1789.730
"2100956",Arame,MA,2976.039
"2101004",Arari,MA,1100.275
"2101103",Axixá,MA,160.462
"2101202",Bacabal,MA,1656.736
"2101251",Bacabeira,MA,542.962
"2101301",Bacuri,MA,850.491
"2101350",Bacurituba,MA,413.651
"2101400",Balsas,MA,13141.162
"2101509",Barão de Grajaú,MA,2209.414
"2101608",Barra do Corda,MA,5187.673
"2101707",Barreirinhas,MA,3046.051
"2101731",Belágua,MA,569.606
"2101772",Bela Vista do Maranhão,MA,147.954
"2101806",Benedito Leite,MA,1784.640
"2101905",Bequimão,MA,790.222
"2101939",Bernardo do Mearim,MA,247.186
"2101970",Boa Vista do Gurupi,MA,400.350
"2102002",Bom Jardim,MA,6588.380
"2102036",Bom Jesus das Selvas,MA,2676.980
"2102077",Bom Lugar,MA,445.171
"2102101",Brejo,MA,1073.258
"2102150",Brejo de Areia,MA,986.036
"2102200",Buriti,MA,1475.779
"2102309",Buriti Bravo,MA,1582.552
"2102325",Buriticupu,MA,2544.857
"2102358",Buritirana,MA,820.968
"2102374",Cachoeira Grande,MA,865.040
"2102408",Cajapió,MA,545.244
"2102507",Cajari,MA,662.066
"2102556",Campestre do Maranhão,MA,613.529
"2102606",Cândido Mendes,MA,1634.861
"2102705",Cantanhede,MA,773.010
"2102754",Capinzal do Norte,MA,590.267
"2102804",Carolina,MA,6267.675
"2102903",Carutapera,MA,1260.977
"2103000",Caxias,MA,5201.927
"2103109",Cedral,MA,285.211
"2103125",Central do Maranhão,MA,319.538
"2103158",Centro do Guilherme,MA,1167.848
"2103174",Centro Novo do Maranhão,MA,8401.003
"2103208",Chapadinha,MA,3247.385
"2103257",Cidelândia,MA,1462.809
"2103307",Codó,MA,4361.606
"2103406",Coelho Neto,MA,977.079
"2103505",Colinas,MA,1978.695
"2103554",Conceição do Lago-Açu,MA,725.664
"2103604",Coroatá,MA,2263.692
"2103703",Cururupu,MA,1257.608
"2103752",Davinópolis,MA,332.249
"2103802",Dom Pedro,MA,358.493
"2103901",Duque Bacelar,MA,317.494
"2104008",Esperantinópolis,MA,452.411
"2104057",Estreito,MA,2720.266
"2104073",Feira Nova do Maranhão,MA,1625.822
"2104081",Fernando Falcão,MA,5086.589
"2104099",Formosa da Serra Negra,MA,3690.610
"2104107",Fortaleza dos Nogueiras,MA,1853.406
"2104206",Fortuna,MA,695.024
"2104305",Godofredo Viana,MA,720.129
"2104404",Gonçalves Dias,MA,883.588
"2104503",Governador Archer,MA,445.856
"2104552",Governador Edison Lobão,MA,615.957
"2104602",Governador Eugênio Barros,MA,816.990
"2104628",Governador Luiz Rocha,MA,373.165
"2104651",Governador Newton Bello,MA,1144.146
"2104677",Governador Nunes Freire,MA,1037.130
"2104701",Graça Aranha,MA,271.445
"2104800",Grajaú,MA,8861.717
"2104909",Guimarães,MA,478.857
"2105005",Humberto de Campos,MA,1714.625
"2105104",Icatu,MA,1124.445
"2105153",Igarapé do Meio,MA,368.685
"2105203",Igarapé Grande,MA,346.218
"2105302",Imperatriz,MA,1369.039
"2105351",Itaipava do Grajaú,MA,1244.398
"2105401",Itapecuru Mirim,MA,1478.562
"2105427",Itinga do Maranhão,MA,3583.423
"2105450",Jatobá,MA,591.616
"2105476",Jenipapo dos Vieiras,MA,1962.362
"2105500",João Lisboa,MA,1137.104
"2105609",Joselândia,MA,703.081
"2105658",Junco do Maranhão,MA,568.499
"2105708",Lago da Pedra,MA,1240.444
"2105807",Lago do Junco,MA,328.525
"2105906",Lago Verde,MA,631.455
"2105922",Lagoa do Mato,MA,1512.985
"2105948",Lago dos Rodrigues,MA,220.776
"2105963",Lagoa Grande do Maranhão,MA,744.199
"2105989",Lajeado Novo,MA,1063.619
"2106003",Lima Campos,MA,321.932
"2106102",Loreto,MA,3597.231
"2106201",Luís Domingues,MA,472.296
"2106300",Magalhães de Almeida,MA,434.433
"2106326",Maracaçumé,MA,635.758
"2106359",Marajá do Sena,MA,1402.593
"2106375",Maranhãozinho,MA,760.947
"2106409",Mata Roma,MA,548.548
"2106508",Matinha,MA,410.632
"2106607",Matões,MA,2108.671
"2106631",Matões do Norte,MA,794.454
"2106672",Milagres do Maranhão,MA,634.818
"2106706",Mirador,MA,8522.351
"2106755",Miranda do Norte,MA,341.107
"2106805",Mirinzal,MA,686.942
"2106904",Monção,MA,1245.548
"2107001",Montes Altos,MA,1488.513
"2107100",Morros,MA,1712.121
"2107209",Nina Rodrigues,MA,542.373
"2107258",Nova Colinas,MA,743.085
"2107308",Nova Iorque,MA,978.340
"2107357",Nova Olinda do Maranhão,MA,2452.615
"2107407",Olho d'Água das Cunhãs,MA,695.333
"2107456",Olinda Nova do Maranhão,MA,199.879
"2107506",Paço do Lumiar,MA,127.193
"2107605",Palmeirândia,MA,532.161
"2107704",Paraibano,MA,530.517
"2107803",Parnarama,MA,3244.752
"2107902",Passagem Franca,MA,1358.327
"2108009",Pastos Bons,MA,1635.181
"2108058",Paulino Neves,MA,979.739
"2108108",Paulo Ramos,MA,1168.609
"2108207",Pedreiras,MA,262.066
"2108256",Pedro do Rosário,MA,1753.867
"2108306",Penalva,MA,800.916
"2108405",Peri Mirim,MA,397.994
"2108454",Peritoró,MA,824.725
"2108504",Pindaré-Mirim,MA,268.285
"2108603",Pinheiro,MA,1512.968
"2108702",Pio XII,MA,545.140
"2108801",Pirapemas,MA,688.761
"2108900",Poção de Pedras,MA,990.415
"2109007",Porto Franco,MA,1420.510
"2109056",Porto Rico do Maranhão,MA,244.979
"2109106",Presidente Dutra,MA,771.574
"2109205",Presidente Juscelino,MA,355.568
"2109239",Presidente Médici,MA,437.687
"2109270",Presidente Sarney,MA,726.172
"2109304",Presidente Vargas,MA,330.765
"2109403",Primeira Cruz,MA,1337.161
"2109452",Raposa,MA,79.213
"2109502",Riachão,MA,6402.830
"2109551",Ribamar Fiquene,MA,733.458
"2109601",Rosário,MA,647.998
"2109700",Sambaíba,MA,2476.132
"2109759",Santa Filomena do Maranhão,MA,623.213
"2109809",Santa Helena,MA,2191.169
"2109908",Santa Inês,MA,786.689
"2110005",Santa Luzia,MA,4837.169
"2110039",Santa Luzia do Paruá,MA,1010.483
"2110104",Santa Quitéria do Maranhão,MA,1430.330
"2110203",Santa Rita,MA,756.797
"2110237",Santana do Maranhão,MA,932.030
"2110278",Santo Amaro do Maranhão,MA,1582.806
"2110302",Santo Antônio dos Lopes,MA,770.923
"2110401",São Benedito do Rio Preto,MA,931.485
"2110500",São Bento,MA,456.997
"2110609",São Bernardo,MA,1005.824
"2110658",São Domingos do Azeitão,MA,961.249
"2110708",São Domingos do Maranhão,MA,1151.978
"2110807",São Félix de Balsas,MA,2032.599
"2110856",São Francisco do Brejão,MA,745.357
"2110906",São Francisco do Maranhão,MA,2284.217
"2111003",São João Batista,MA,649.956
"2111029",São João do Carú,MA,910.065
"2111052",São João do Paraíso,MA,2052.328
"2111078",São João do Soter,MA,1438.067
"2111102",São João dos Patos,MA,1483.255
"2111201",São José de Ribamar,MA,180.363
"2111250",São José dos Basílios,MA,353.720
"2111300",São Luís,MA,583.063
"2111409",São Luís Gonzaga do Maranhão,MA,909.164
"2111508",São Mateus do Maranhão,MA,800.045
"2111532",São Pedro da Água Branca,MA,720.461
"2111573",São Pedro dos Crentes,MA,979.915
"2111607",São Raimundo das Mangabeiras,MA,3524.501
"2111631",São Raimundo do Doca Bezerra,MA,419.550
"2111672",São Roberto,MA,226.811
"2111706",São Vicente Ferrer,MA,393.928
"2111722",Satubinha,MA,441.811
"2111748",Senador Alexandre Costa,MA,426.437
"2111763",Senador La Rocque,MA,738.187
"2111789",Serrano do Maranhão,MA,1165.318
"2111805",Sítio Novo,MA,3114.683
"2111904",Sucupira do Norte,MA,1074.435
"2111953",Sucupira do Riachão,MA,862.226
"2112001",Tasso Fragoso,MA,4369.159
"2112100",Timbiras,MA,1486.584
"2112209",Timon,MA,1763.220
"2112233",Trizidela do Vale,MA,291.610
"2112274",Tufilândia,MA,270.934
"2112308",Tuntum,MA,3369.121
"2112407",Turiaçu,MA,2622.281
"2112456",Turilândia,MA,1507.622
"2112506",Tutóia,MA,1566.080
"2112605",Urbano Santos,MA,1707.621
"2112704",Vargem Grande,MA,1958.702
"2112803",Viana,MA,1166.745
"2112852",Vila Nova dos Martírios,MA,1190.008
"2112902",Vitória do Mearim,MA,716.719
"2113009",Vitorino Freire,MA,1193.385
